code_from,langcode,code
CM,FR,MC
CM,FR,HT
CM,FR,CF
CM,FR,LU
CM,FR,CI
CM,FR,BJ
CM,FR,CH
CM,FR,CG
CM,FR,CA
CM,FR,DJ
CM,FR,CM
CM,FR,TD
CM,FR,TG
CM,FR,GN
CM,FR,FR
CM,FR,BF
CM,FR,MG
CM,FR,GA
CM,FR,SN
CM,FR,NE
CM,FR,ML
CM,FR,CD
CM,FR,BE
CM,EN,GY
CM,EN,VC
CM,EN,MW
CM,EN,DM
CM,EN,TO
CM,EN,TT
CM,EN,LC
CM,EN,NG
CM,EN,BB
CM,EN,AG
CM,EN,US
CM,EN,BZ
CM,EN,NZ
CM,EN,FJ
CM,EN,KE
CM,EN,SZ
CM,EN,IE
CM,EN,SL
CM,EN,AU
CM,EN,CA
CM,EN,MT
CM,EN,JM
CM,EN,CM
CM,EN,UG
CM,EN,GB
CM,EN,GD
CM,EN,LR
CM,EN,KN
CM,EN,MH
TN,AR,AE
TN,AR,OM
TN,AR,QA
TN,AR,MA
TN,AR,EG
TN,AR,SA
TN,AR,LY
TN,AR,TN
TN,AR,KM
TN,AR,JO
TN,AR,YE
TN,AR,KW
TN,AR,SD
TN,AR,MR
TN,AR,DZ
TN,AR,LB
TN,AR,IQ
TN,AR,BH
MR,AR,SD
MR,AR,OM
MR,AR,LY
MR,AR,SA
MR,AR,KW
MR,AR,BH
MR,AR,AE
MR,AR,QA
MR,AR,KM
MR,AR,MA
MR,AR,IQ
MR,AR,LB
MR,AR,MR
MR,AR,DZ
MR,AR,YE
MR,AR,TN
MR,AR,JO
MR,AR,EG
AE,AR,MR
AE,AR,LY
AE,AR,OM
AE,AR,AE
AE,AR,QA
AE,AR,DZ
AE,AR,IQ
AE,AR,JO
AE,AR,SD
AE,AR,BH
AE,AR,YE
AE,AR,KW
AE,AR,EG
AE,AR,KM
AE,AR,MA
AE,AR,SA
AE,AR,LB
AE,AR,TN
BH,AR,BH
BH,AR,MR
BH,AR,IQ
BH,AR,QA
BH,AR,SA
BH,AR,TN
BH,AR,MA
BH,AR,AE
BH,AR,LB
BH,AR,LY
BH,AR,YE
BH,AR,KW
BH,AR,OM
BH,AR,KM
BH,AR,EG
BH,AR,SD
BH,AR,DZ
BH,AR,JO
DZ,AR,SD
DZ,AR,MR
DZ,AR,BH
DZ,AR,QA
DZ,AR,MA
DZ,AR,IQ
DZ,AR,KM
DZ,AR,OM
DZ,AR,LB
DZ,AR,DZ
DZ,AR,TN
DZ,AR,KW
DZ,AR,SA
DZ,AR,JO
DZ,AR,LY
DZ,AR,AE
DZ,AR,EG
DZ,AR,YE
EG,AR,QA
EG,AR,KW
EG,AR,LY
EG,AR,TN
EG,AR,BH
EG,AR,MA
EG,AR,LB
EG,AR,EG
EG,AR,SD
EG,AR,DZ
EG,AR,MR
EG,AR,JO
EG,AR,AE
EG,AR,IQ
EG,AR,YE
EG,AR,SA
EG,AR,OM
EG,AR,KM
IQ,AR,YE
IQ,AR,SD
IQ,AR,LB
IQ,AR,BH
IQ,AR,TN
IQ,AR,OM
IQ,AR,LY
IQ,AR,SA
IQ,AR,EG
IQ,AR,MR
IQ,AR,MA
IQ,AR,KM
IQ,AR,AE
IQ,AR,KW
IQ,AR,JO
IQ,AR,DZ
IQ,AR,IQ
IQ,AR,QA
JO,AR,EG
JO,AR,AE
JO,AR,LB
JO,AR,SA
JO,AR,OM
JO,AR,LY
JO,AR,SD
JO,AR,KM
JO,AR,QA
JO,AR,KW
JO,AR,YE
JO,AR,TN
JO,AR,MA
JO,AR,DZ
JO,AR,MR
JO,AR,JO
JO,AR,BH
JO,AR,IQ
KM,AR,JO
KM,AR,TN
KM,AR,MA
KM,AR,MR
KM,AR,SA
KM,AR,AE
KM,AR,SD
KM,AR,KM
KM,AR,QA
KM,AR,BH
KM,AR,LB
KM,AR,YE
KM,AR,DZ
KM,AR,OM
KM,AR,IQ
KM,AR,LY
KM,AR,EG
KM,AR,KW
KW,AR,YE
KW,AR,SA
KW,AR,LY
KW,AR,MR
KW,AR,JO
KW,AR,MA
KW,AR,OM
KW,AR,SD
KW,AR,LB
KW,AR,TN
KW,AR,IQ
KW,AR,KW
KW,AR,EG
KW,AR,DZ
KW,AR,BH
KW,AR,AE
KW,AR,KM
KW,AR,QA
LB,AR,LB
LB,AR,YE
LB,AR,IQ
LB,AR,KW
LB,AR,JO
LB,AR,KM
LB,AR,QA
LB,AR,EG
LB,AR,TN
LB,AR,MA
LB,AR,SA
LB,AR,SD
LB,AR,OM
LB,AR,MR
LB,AR,LY
LB,AR,AE
LB,AR,BH
LB,AR,DZ
LY,AR,YE
LY,AR,OM
LY,AR,DZ
LY,AR,KW
LY,AR,BH
LY,AR,MA
LY,AR,EG
LY,AR,LB
LY,AR,TN
LY,AR,SD
LY,AR,KM
LY,AR,QA
LY,AR,AE
LY,AR,LY
LY,AR,IQ
LY,AR,SA
LY,AR,MR
LY,AR,JO
MA,AR,DZ
MA,AR,JO
