name,gender,gchar12,gchar1,gchar2
A HANNAN,M,,,
A JAY,M,,,
A K I L,M,,,
A LAH,F,,,
A LIAN,?,,,
A MEI,?,,,
A MIN,?,,,
A RIN,F,,,
A S M,M,,,
A YING,?,,,
AA ISHAH,F,,,
AABAN,M,,,
AABAS,M,,,
AABEER,F,,,
AABEL,M,,,
AABHA,F,,,
AABIA,F,,,
AABID,M,,,
AABIDA,F,,,
AABIDAMMAR,M,,,
AABIR,M,,,
AABIS,M,,,
AABISH,F,,,
AABRIELLA,F,,,
AAD TY,M,,,
AADA,F,,,
AADAM,M,,,
AADAN,M,,,
AADARSH,M,,,
AADEN,M,,,
AADESH,M,,,
AADHAM,M,,,
AADHARSH,M,,,
AADHAV,M,,,
AADHAVAN,M,,,
AADHEEN,M,,,
AADHI,M,,,
AADHIL,M,,,
AADHIRA,F,,,
AADHITEYA,M,,,
AADHITHYA,M,,,
AADHYAN,M,,,
AADI,M,,,
AADIL,M,,,
AADILA,F,,,
AADIN,M,,,
AADINEER,M,,,
AADISH,M,,,
AADISON,F,,,
AADIT,M,,,
AADITH,M,,,
AADITRI,F,,,
AADITYA,M,,,
AADITYARAM,M,,,
AADIV,M,,,
AADJE,F,,,
AADL,M,,,
AADLE,M,,,
AADON,M,,,
AADRA,F,,,
AADRIAN,M,,,
AADRIENNE,F,,,
AADRIT,M,,,
AADU,M,,,
AADVIK,M,,,
AADVIKA,F,,,
AADYN,M,,,
AAEEDAH,F,,,
AAEESHA,F,,,
AAELLA,F,,,
AAEMA,F,,,
AAEN,M,,,
AAESHA,F,,,
AAF,F,,,
AAFAF,F,,,
AAFARIDA,F,,,
AAFIA,F,,,
AAFIYA,F,,,
AAFIYAH,F,,,
AAFKEA,F,,,
AAFKO,M,,,
AAFREEN,F,,,
AAFRIN,F,,,
AAGAM,M,,,
AAGAT,M,,,
AAGE,M,,,
AAGJE,F,,,
AAGMAN,M,,,
AAGMANPAL,M,,,
AAGOT,F,,,
AAGOTH,F,,,
AAGYADEEP,F,,,
AAHAAN,M,,,
AAHAD,M,,,
AAHAN,M,,,
AAHANA,F,,,
AAHIL,M,,,
AAHLIAH,F,,,
AAHLIANA,F,,,
AAHLIYA,F,,,
AAHLIYAH,F,,,
AAHNA,F,,,
AAHRON,M,,,
AAIANA,F,,,
AAIDAH,F,,,
AAIDAN,M,,,
AAIDEN,M,,,
AAIDYN,M,,,
AAIJAY,M,,,
AAILA,F,,,
AAILAH,F,,,
AAILIYAH,F,,,
AAILYAH,F,,,
AAIMA,F,,,
AAINA,F,,,
AAIRA,F,,,
AAIRAH,F,,,
AAISHA,F,,,
AAISHA MALEK,F,,,
AAISHAH,F,,,
AAISHAH AMINA,F,,,
AAIYANA,F,,,
AAIYLA,F,,,
AAIZA,F,,,
AAIZAH,F,,,
AAJA,F,,,
AAJAH,F,,,
AAJAYLAH,F,,,
AAJON,M,,,
AAKANKSHA,F,,,
AAKARSH,M,,,
AAKASH,M,,,
AAKASHDEEP,M,,,
AAKEEM,M,,,
AAKESH,M,,,
AAKIF,M,,,
AAKIFA,F,,,
AAKIFAH,F,,,
AAKILAH,F,,,
AAKIRA,F,,,
AAKIYAH,F,,,
AAKRITI,F,,,
AAKRUTI,F,,,
AALA,F,,,
AALAA,F,,,
AALAA AHMAD,F,,,
AALAIYA,F,,,
AALAIYAH,F,,,
AALANA,F,,,
AALANAH,F,,,
AALANI,F,,,
AALAP,M,,,
AALAY,M,,,
AALAYA,F,,,
AALAYAH,F,,,
AALAYIAH,F,,,
AALAYJAH,F,,,
AALAYNA,F,,,
AALAYSHA,F,,,
AALAYSIA,F,,,
AALBERT,M,,,
AALBJORG,F,,,
AALBJORN,M,,,
AALDERICH,M,,,
AALDERK,M,,,
AALDRIK,M,,,
AALE,M,,,
AALEAH,F,,,
AALEAHYA,F,,,
AALEEM,M,,,
AALEEN,F,,,
AALEEYA,F,,,
AALEEYAH,F,,,
AALEIA,F,,,
AALEIGHA,F,,,
AALEIYAH,F,,,
AALESHA,F,,,
AALEXIS,F,,,
AALEXUS,F,,,
AALEYA,F,,,
AALEYAH,F,,,
AALEYAH MAE,F,,,
AALGEIR,M,,,
AALHEIUR,F,,,
AALI,M,,,
AALIA,F,,,
AALIAAN,M,,,
AALIAH,F,,,
AALIANA,F,,,
AALIAS,M,,,
AALIAYAH,F,,,
AALIAYH,F,,,
AALICIA,F,,,
AALIEGHA,F,,,
AALIHA,F,,,
AALIJAH,?,,,
AALIM,M,,,
AALIMAH,F,,,
AALINA,F,,,
AALISH,F,,,
AALISHA,F,,,
AALIVIA,F,,,
AALIYA,F,,,
AALIYAA,F,,,
AALIYAH,F,,,
AALIYAH FAITH,F,,,
AALIYAH FAYE,F,,,
AALIYAH JEWEL,F,,,
AALIYAH LOUISE,F,,,
AALIYAH MAE,F,,,
AALIYAH MARIE,F,,,
AALIYAH MAY,F,,,
AALIYAH NOOR,F,,,
AALIYAH ROSE,F,,,
AALIYAH SKYE,F,,,
AALIYAHA,F,,,
AALIYAHMARIE,F,,,
AALIYAHROSE,F,,,
AALIYANA,F,,,
AALIYHA,F,,,
AALIYIAH,F,,,
AALIZA,F,,,
AALKE,F,,,
AALLAYA,F,,,
AALLISHIA,F,,,
AALLIYAH,F,,,
AALLYAH,F,,,
AALOK,M,,,
AALOKE,M,,,
AALON,M,,,
AALSTEINN,M,,,
AALT,M,,,
AALTIEN,F,,,
AALTINA,F,,,
AALTINUS,M,,,
AALTJE,F,,,
AALTSJE,F,,,
AALYA,F,,,
AALYAH,F,,,
AALYCIA,F,,,
AALYHA,F,,,
AALYIA,F,,,
AALYIAH,F,,,
AALYN,F,,,
AALYSA,F,,,
AALYSIA,F,,,
AALYSSA,F,,,
AALYVIA,F,,,
AAMAIRA,F,,,
AAMAL,F,,,
AAMAN,M,,,
AAMANA,F,,,
AAMANAH,F,,,
AAMANDA,F,,,
AAMANEE,F,,,
AAMANI,F,,,
AAMAR,M,,,
AAMARI,?,,,
AAMARION,M,,,
AAMAYA,F,,,
AAMBER,F,,,
AAMEE,F,,,
AAMEEN,M,,,
AAMENA,F,,,
AAMENAH,F,,,
AAMER,M,,,
AAMIA,F,,,
AAMIL,M,,,
AAMILAH,F,,,
AAMINA,F,,,
AAMINAH,F,,,
AAMINO,F,,,
AAMIR,M,,,
AAMIRA,F,,,
AAMIRAH,F,,,
AAMISH,M,,,
AAMIYA,F,,,
AAMIYAH,F,,,
AAMNA,F,,,
AAMNAH,F,,,
AAMNAHA,F,,,
AAMOD,M,,,
AAMOD AAMOD,M,,,
AAMOD DINKAR,M,,,
AAMON,M,,,
AAMONI,F,,,
AAMORI,F,,,
AAMR,M,,,
AAMVI,F,,,
AAMYA,F,,,
AAMYAH,F,,,
AAN,F,,,
AANA,F,,,
AANAND,M,,,
AANAV,M,,,
AANAYA,F,,,
AANAYAH,F,,,
AANCHAL,F,,,
AANCHALPREET,F,,,
AANDERS,M,,,
AANDREA,F,,,
AANELI,F,,,
AANELLE,F,,,
AANEM,F,,,
AANEYA,F,,,
AANGI,F,,,
AANIA,F,,,
AANIAH,F,,,
AANIBAH,F,,,
AANICK,F,,,
AANIJAH,F,,,
AANIKA,F,,,
AANIS,M,,,
AANISAH,F,,,
AANISH,M,,,
AANISHA,F,,,
AANIYA,F,,,
AANIYAH,F,,,
AANSH,M,,,
AANSHI,F,,,
AANT,F,,,
AANTYN,M,,,
AANU,F,,,
AANUM,F,,,
AANUOLUWA,F,,,
AANUOLUWATOMILEHIN,F,,,
AANVI,F,,,
AANYA,F,,,
